FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXLIM_XRD,"PBGC Maximum Insurance Limitation  Guaranteed Benefit (MGB) of  at XRD, DOPT, or BPD, whichever is applicable ( Benefit After Adjustment for Benefit Form and Starting Date  Age)",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPLIM,"XRD/DOR Benefit Limit (XRD/DOR Benefit Limiting Value. Example: Often Accrued at Normal Limits J&S Popup when supplement is paying) 
If the participant retired after DOPT with a J&S Popup, POPLIM should be populated with the DOR benefit limit and otherwise the XRD benefit limit.",NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_XRD,XRD Benefit Form Conversion Factor,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF_XRD_MAXLIM,PBGC XRD Benefit Form Conversion Factor for MGB calculations,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_ERD,Number of Months Early at BDERDLEV (PBGC earliest commencement date at BD issuance),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_ERD,Early Retirement Factor at BDERDLEV (PBGC earliest commencement date at BD issuance),NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_XRD,Number of Months Early at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_XRD,Early Retirement Factor at XRD,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME_XRD_MAXLIM,Number of Complete Months Early at XRD for MGB Calculation,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERF_XRD_MAXLIM,Early Retirement Factor at XRD for MGB Calculation,NUMBER,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
